feature_name,feature_importance
tGravityAcc-min()-X,0.03142780848840238
tGravityAcc-energy()-X,0.029141311551221877
tGravityAcc-mean()-Y,0.02779441083339622
tGravityAcc-max()-X,0.027099041542026945
"angle(Y,gravityMean)",0.02607037044954523
tGravityAcc-min()-Y,0.025186015389342974
tGravityAcc-mean()-X,0.024088047063425225
tGravityAcc-max()-Y,0.02275896075726396
"angle(X,gravityMean)",0.022394979716094086
fBodyAccMag-std(),0.013098687072852127
tGravityAcc-energy()-Y,0.012710101914867664
tBodyAccJerk-iqr()-X,0.012281876643568435
tGravityAcc-energy()-Z,0.012110448553819724
tGravityAcc-min()-Z,0.011327115043776708
tBodyAcc-max()-X,0.011055213761969145
fBodyAcc-mad()-X,0.010890357110159612
fBodyAccJerk-mad()-Y,0.010560601746496647
fBodyAccJerk-max()-X,0.010285532356345575
tGravityAcc-mean()-Z,0.010271408592211212
"angle(Z,gravityMean)",0.010263746146858583
fBodyAccMag-energy(),0.009572692113610823
"tGravityAcc-arCoeff()-Z,3",0.008846437941254337
fBodyAccJerk-std()-X,0.00881018092688447
tBodyAccMag-std(),0.008680447541506646
"tGravityAcc-arCoeff()-Z,1",0.008669258227343683
tBodyAccJerk-mad()-X,0.008632697646930722
"tGravityAcc-arCoeff()-Y,1",0.008440603271502655
fBodyAcc-entropy()-X,0.008277373593699977
tGravityAccMag-mad(),0.007854089183150177
tBodyAccJerk-energy()-Y,0.007334478401911093
"tGravityAcc-arCoeff()-X,1",0.007316208677505343
"tGravityAcc-arCoeff()-Y,2",0.007272114594389311
fBodyGyro-maxInds-Z,0.007256287015263958
tBodyAcc-std()-X,0.007155829185055691
fBodyAccMag-mean(),0.00696755019567144
"fBodyAccJerk-bandsEnergy()-1,16",0.006729924197676738
"tGravityAcc-arCoeff()-Z,2",0.0066558879013603545
"fBodyAccJerk-bandsEnergy()-1,8",0.00633530161299354
tBodyGyroJerk-iqr()-Z,0.006282236151826996
tGravityAcc-entropy()-Y,0.006215583973321862
"tGravityAcc-arCoeff()-Y,3",0.0059417215088200075
"tGravityAcc-arCoeff()-X,2",0.005573927549857988
fBodyAccMag-mad(),0.005512369998593858
tGravityAcc-max()-Z,0.005415210236940464
tBodyAccMag-arCoeff()1,0.005301559702632544
"fBodyAccJerk-bandsEnergy()-1,24",0.005063089359212929
fBodyAcc-sma(),0.00494832962761734
fBodyAcc-max()-X,0.004939823145332438
tBodyAccJerk-std()-X,0.004623120668798894
"tGravityAcc-arCoeff()-X,3",0.004614647108521873
"fBodyAccJerk-bandsEnergy()-9,16",0.004604908903270839
fBodyAccJerk-sma(),0.004533769149787653
"fBodyAcc-bandsEnergy()-1,24",0.004439191464017915
tGravityAccMag-std(),0.0044230249507535326
tBodyAccJerk-mad()-Y,0.0044072761793300655
tBodyAccJerk-sma(),0.004395807947575
tGravityAccMag-max(),0.004377257504378099
fBodyAccJerk-mad()-X,0.004373839894062897
fBodyAccJerk-mean()-Y,0.004373462333594419
fBodyAccJerk-energy()-Y,0.00433703766730377
tBodyAccJerkMag-sma(),0.004326600349210726
tBodyAccJerkMag-iqr(),0.004322765805113119
"tGravityAcc-arCoeff()-Y,4",0.004254882505447526
tBodyGyroJerkMag-sma(),0.004225850577834478
tBodyAccJerk-entropy()-Y,0.004200725264566737
fBodyAccJerk-max()-Y,0.004181900824445236
tBodyAccJerkMag-entropy(),0.0041686691151156694
tBodyGyroJerk-iqr()-X,0.004156481092416722
fBodyAccJerk-entropy()-X,0.004115019463540374
fBodyGyro-sma(),0.0040894783826953465
"tBodyAcc-correlation()-X,Y",0.004076640310042505
fBodyAcc-std()-X,0.0040447347632755724
fBodyAcc-mean()-X,0.004004018113724597
tBodyAccMag-max(),0.003974776782354085
tGravityAccMag-arCoeff()1,0.0038388917399245675
tBodyAccMag-mad(),0.003741035821389204
"tGravityAcc-arCoeff()-X,4",0.00368839492747498
"fBodyAcc-bandsEnergy()-1,16",0.0036500241308097814
"tGravityAcc-arCoeff()-Z,4",0.0035707249389495595
fBodyAccMag-sma(),0.003529885426919062
fBodyAcc-meanFreq()-Z,0.0034575154906661583
fBodyGyro-mad()-X,0.00345088960344897
"fBodyGyro-bandsEnergy()-1,24",0.0033230391800534776
fBodyGyro-maxInds-X,0.0032947815291242423
tBodyAcc-mad()-X,0.0032547385829828517
tBodyGyro-max()-X,0.0031146609736925294
fBodyAccJerk-maxInds-Z,0.0030960605989582947
"tGravityAcc-correlation()-X,Y",0.003091113537815125
tBodyGyro-mad()-Y,0.003085133868723625
tBodyAccJerk-max()-X,0.003071629772523631
tGravityAcc-sma(),0.003004186568218891
tBodyAccJerk-energy()-X,0.00295535496872633
tBodyGyro-min()-X,0.0029183295740485725
fBodyAccJerk-std()-Y,0.002898957464699874
"fBodyAcc-bandsEnergy()-1,8",0.0028784773050725605
tBodyAccJerk-entropy()-X,0.0028769380716762373
"tBodyAcc-correlation()-Y,Z",0.002868015031841289
fBodyAcc-energy()-X,0.002756348350899308
"tGravityAcc-correlation()-Y,Z",0.002703871017852938
tGravityAcc-std()-Y,0.0026732011450624686
"fBodyGyro-bandsEnergy()-1,8",0.0026637375457404574
fBodyGyro-mean()-Z,0.0026617845306916897
tGravityAccMag-arCoeff()2,0.0026508015185177465
fBodyAccJerk-energy()-X,0.0025953083618079375
tBodyAccJerkMag-mean(),0.0025907413018286295
tBodyGyroJerk-mad()-X,0.0025509675526848123
tBodyGyro-iqr()-Y,0.002508277917806971
fBodyAcc-skewness()-Y,0.0024606140498980174
fBodyGyro-mad()-Z,0.0024192245852431796
fBodyAccMag-max(),0.0024166923671577896
tBodyAccJerk-entropy()-Z,0.0024080239189352556
tBodyGyroJerk-mad()-Z,0.002395391693290793
tBodyGyro-std()-X,0.0023953629191040293
fBodyAccJerk-mean()-X,0.002362737682892307
tBodyAccJerk-iqr()-Z,0.0023447417030300448
tGravityAcc-entropy()-X,0.002329962395701264
"fBodyAccJerk-bandsEnergy()-1,16.2",0.002315302913043928
"fBodyGyro-bandsEnergy()-1,16",0.0022721099676448414
tBodyAccJerkMag-energy(),0.002270172248869247
"fBodyAccJerk-bandsEnergy()-25,48",0.0022663239487789393
fBodyAccJerk-entropy()-Y,0.002238056067688725
fBodyBodyAccJerkMag-entropy(),0.002224098723876893
tBodyGyro-iqr()-X,0.0020781349814103203
fBodyGyro-entropy()-X,0.0020189836225151564
tGravityAcc-std()-X,0.002013251744694875
tBodyAcc-energy()-X,0.001967175787975892
tBodyAccMag-energy(),0.00195903980936258
"tBodyAcc-correlation()-X,Z",0.0019274624869857287
fBodyGyro-meanFreq()-X,0.0019172868819570482
fBodyGyro-energy()-X,0.0019148597507099255
"fBodyGyro-bandsEnergy()-9,16",0.0018771958756313026
fBodyGyro-maxInds-Y,0.0018071490957633385
fBodyAccMag-entropy(),0.0017689002588615415
tBodyGyro-entropy()-X,0.001719570315466801
tBodyGyro-mad()-X,0.0017107048657976226
fBodyGyro-max()-X,0.0016275946226699375
fBodyAccJerk-maxInds-X,0.0015866862576748378
fBodyAccMag-meanFreq(),0.0015652286753561123
"tBodyGyro-correlation()-Y,Z",0.0015624064056384613
tGravityAcc-mad()-Y,0.0015259813160046747
tBodyAcc-iqr()-X,0.0015110447528211856
fBodyGyro-std()-X,0.0014764445532409792
"fBodyAcc-bandsEnergy()-1,8.1",0.0014007091816845682
tGravityAccMag-energy(),0.001374607290657932
fBodyGyro-mean()-X,0.0013571785725434355
tGravityAcc-iqr()-Y,0.001350371107063066
tBodyGyro-iqr()-Z,0.001332888797099317
fBodyBodyAccJerkMag-std(),0.0012975279642024418
fBodyAccMag-iqr(),0.001239505519945513
tGravityAcc-iqr()-X,0.0012342271407549768
"tBodyGyro-arCoeff()-X,1",0.001226345642764621
tBodyAcc-entropy()-X,0.0011229769689955625
fBodyBodyGyroMag-meanFreq(),0.0011178242505481793
fBodyGyro-max()-Z,0.00110167977945763
"tBodyAcc-arCoeff()-X,1",0.0010995580097897123
tBodyGyroJerk-energy()-X,0.0010711207971551679
"tBodyGyroJerk-arCoeff()-X,1",0.001069637167725763
"angle(tBodyGyroJerkMean,gravityMean)",0.0010216259607955995
fBodyBodyGyroJerkMag-max(),0.000979862173269336
fBodyGyro-kurtosis()-Z,0.0009650719664651415
tGravityAcc-mad()-X,0.0009649631569510309
fBodyAcc-kurtosis()-X,0.0009516501302328575
"fBodyGyro-bandsEnergy()-1,16.2",0.000942533566909212
"fBodyGyro-bandsEnergy()-1,8.1",0.0009373818121916121
tBodyGyro-energy()-X,0.0009362849356742479
tBodyGyro-energy()-Z,0.0009351279484504454
tBodyAccMag-sma(),0.0009189926717754119
"fBodyAccJerk-bandsEnergy()-17,24.2",0.0008994125679834961
tBodyAccJerk-std()-Z,0.0008851455455048513
fBodyGyro-kurtosis()-Y,0.0008834785736766299
fBodyAcc-meanFreq()-X,0.0008809827999539661
tBodyGyroJerk-min()-X,0.0008659786620358835
"fBodyAcc-bandsEnergy()-33,48",0.0008572270331077608
tBodyAccMag-iqr(),0.0008520785050413254
"fBodyAcc-bandsEnergy()-17,24.2",0.0008512193884446707
fBodyGyro-skewness()-Z,0.0008457183051910029
tBodyAccJerkMag-std(),0.0008357190906716757
fBodyAcc-kurtosis()-Y,0.0008212704562139788
fBodyBodyAccJerkMag-max(),0.000815567442144767
tBodyGyroJerk-std()-X,0.0008124416698671595
fBodyAcc-maxInds-X,0.0008059660906014679
"fBodyGyro-bandsEnergy()-17,32.2",0.0008023580080772887
tBodyAccMag-arCoeff()2,0.000790277980979628
"fBodyAccJerk-bandsEnergy()-17,32.2",0.0007785235619157444
fBodyBodyAccJerkMag-mad(),0.0007755789497106206
tGravityAccMag-entropy(),0.0007298798549943217
fBodyAcc-max()-Y,0.0007249216026365402
"fBodyAccJerk-bandsEnergy()-17,24.1",0.0007081188332786094
fBodyGyro-skewness()-X,0.0007016217231010984
"tBodyGyro-correlation()-X,Y",0.0006994055073198905
"tBodyAccJerk-correlation()-X,Y",0.0006993371582803111
"tBodyAccJerk-correlation()-X,Z",0.0006978474023102087
tBodyAcc-iqr()-Y,0.000687311540577929
"fBodyAcc-bandsEnergy()-1,8.2",0.0006817336927169891
"tBodyGyro-arCoeff()-Y,1",0.0006791269957280641
tGravityAcc-mad()-Z,0.0006781471892303575
"fBodyAcc-bandsEnergy()-9,16",0.0006741103728885692
"tBodyGyro-correlation()-X,Z",0.0006725939456583255
tBodyGyroJerk-entropy()-Z,0.0006716175942310747
fBodyAcc-std()-Z,0.0006711001838932844
tBodyGyro-mean()-X,0.000669236336810166
"tBodyGyroJerk-correlation()-X,Y",0.0006683081470841968
tBodyAccMag-entropy(),0.0006680094264670662
"fBodyGyro-bandsEnergy()-17,32.1",0.0006474332770174416
tBodyAcc-mad()-Z,0.0006469896789616056
fBodyAccJerk-entropy()-Z,0.0006284473231677959
tBodyAcc-energy()-Y,0.0006283148363846599
tBodyAccJerkMag-mad(),0.0006230279416813886
fBodyGyro-energy()-Y,0.0006200080668576471
fBodyGyro-energy()-Z,0.0006195115458853123
tBodyGyroJerk-max()-X,0.0006159488211091242
"fBodyAccJerk-bandsEnergy()-33,48",0.0006033917665348168
tGravityAcc-std()-Z,0.0005992908600206397
tBodyAccJerk-max()-Z,0.0005947552959653771
fBodyAcc-meanFreq()-Y,0.0005911268409162
tBodyGyroJerk-entropy()-X,0.0005861535815093287
fBodyAcc-skewness()-X,0.0005844224298975855
tBodyGyroJerk-mean()-Z,0.0005838169420047973
"fBodyGyro-bandsEnergy()-1,8.2",0.0005775995947423453
tBodyGyroJerk-mean()-X,0.0005769097023510469
"tBodyGyroJerk-correlation()-X,Z",0.0005764891715977305
fBodyGyro-std()-Y,0.0005730136030643101
tGravityAcc-entropy()-Z,0.0005722038722574054
tBodyGyro-std()-Z,0.0005721343490654195
"fBodyGyro-bandsEnergy()-1,24.2",0.0005714008446637594
tBodyAccJerk-energy()-Z,0.000564563478560155
fBodyGyro-meanFreq()-Z,0.0005611303199938652
"fBodyAccJerk-bandsEnergy()-25,32",0.0005575909318880825
tBodyGyroMag-energy(),0.0005567003638844927
fBodyAcc-energy()-Z,0.0005539996867615756
tBodyAccJerk-std()-Y,0.0005537291441373181
"fBodyAcc-bandsEnergy()-17,32.2",0.0005511478998230175
tBodyGyro-max()-Z,0.0005498531668317498
tBodyGyro-energy()-Y,0.0005465852544077436
"fBodyGyro-bandsEnergy()-25,32.2",0.0005462830254485294
tBodyGyro-mean()-Z,0.0005361526091899705
tBodyGyroJerkMag-iqr(),0.0005319636438805733
"fBodyGyro-bandsEnergy()-1,16.1",0.0005314403141696363
tBodyGyro-mad()-Z,0.0005266125756044968
"tBodyGyroJerk-arCoeff()-Y,1",0.0005246593631383486
"fBodyGyro-bandsEnergy()-17,24.2",0.0005223710597039942
"fBodyGyro-bandsEnergy()-25,48.2",0.0005142195685258963
tBodyGyroJerk-mad()-Y,0.0005139034822461039
"tGravityAcc-correlation()-X,Z",0.0004990807073926545
fBodyAccJerk-maxInds-Y,0.0004982903627747727
fBodyAccJerk-std()-Z,0.0004959220061134959
fBodyAcc-maxInds-Y,0.0004941137768281205
fBodyAccJerk-skewness()-Y,0.0004927789037504657
fBodyAccJerk-energy()-Z,0.0004924322999883249
fBodyGyro-skewness()-Y,0.000488445656417661
fBodyAccJerk-mad()-Z,0.0004870539994494915
tBodyAcc-mad()-Y,0.0004820599565061096
"fBodyAcc-bandsEnergy()-25,48.2",0.0004789404376429947
fBodyBodyGyroMag-maxInds,0.0004753411238862149
tBodyAcc-energy()-Z,0.000470563941353106
"fBodyGyro-bandsEnergy()-33,48",0.0004671778918212316
tBodyGyro-min()-Z,0.0004654767171581356
fBodyAcc-kurtosis()-Z,0.000463600327236206
"fBodyAcc-bandsEnergy()-9,16.1",0.00046134722740030223
tBodyGyroJerk-max()-Y,0.00045598769137984425
tBodyAcc-entropy()-Z,0.0004551800030399269
fBodyBodyGyroJerkMag-kurtosis(),0.00045450469241335023
"fBodyGyro-bandsEnergy()-1,24.1",0.0004528219448488792
fBodyBodyGyroJerkMag-mad(),0.0004481614367798335
"fBodyGyro-bandsEnergy()-57,64.2",0.00043804402585841557
fBodyGyro-max()-Y,0.0004340004337243835
fBodyGyro-std()-Z,0.00042903245992913973
tBodyAccJerk-min()-Z,0.00042782521707933395
fBodyBodyGyroJerkMag-entropy(),0.0004248725422911462
tGravityAccMag-mean(),0.000424421219723753
fBodyGyro-meanFreq()-Y,0.0004183114088922825
"angle(tBodyGyroMean,gravityMean)",0.00041822344207002307
tBodyGyroJerk-energy()-Z,0.000414528773516004
tBodyAcc-entropy()-Y,0.0004097501056358588
"fBodyGyro-bandsEnergy()-17,32",0.0004082241688975228
"fBodyAccJerk-bandsEnergy()-17,32.1",0.00040621961086178415
fBodyAccJerk-meanFreq()-Z,0.0004061501788359178
"tBodyGyroJerk-arCoeff()-Z,4",0.0004059219869088628
tBodyAcc-sma(),0.0004050391880504942
"tBodyAcc-arCoeff()-Z,4",0.00040275210767373173
tGravityAccMag-sma(),0.00040221753142032654
tBodyGyro-mean()-Y,0.00040047161436788573
tBodyGyroJerk-std()-Z,0.00040034175859412824
fBodyBodyGyroJerkMag-skewness(),0.00039835205446815057
tBodyGyroJerk-min()-Y,0.0003976957224511361
fBodyAccJerk-iqr()-Z,0.0003970223572093483
tBodyAccJerk-iqr()-Y,0.00039391834170138024
fBodyBodyGyroJerkMag-energy(),0.00039318797512041164
"fBodyGyro-bandsEnergy()-41,48",0.0003925686935060755
tBodyGyroJerkMag-std(),0.00039249345952824775
tGravityAcc-iqr()-Z,0.0003923261327388798
